year,stateProvince,decimalLatitude,decimalLongitude,vernacularName,species
2019,Victoria,-34.72132,142.33735,Rabbit,Oryctolagus cuniculus
2021,Victoria,-36.99779,148.40522,Rabbit,Oryctolagus cuniculus
2004,Victoria,-36.20819,146.51662,Rabbit,Oryctolagus cuniculus
2001,Victoria,-37.75267,148.21193,Rabbit,Oryctolagus cuniculus
2014,Victoria,-38.6182,143.00302,Rabbit,Oryctolagus cuniculus
2002,Victoria,-37.22267,144.04555,Rabbit,Oryctolagus cuniculus
1983,Victoria,-36.77351,143.42632,Rabbit,Oryctolagus cuniculus
2013,Victoria,-36.86672,141.48847,Rabbit,Oryctolagus cuniculus
2014,Victoria,-38.58146,142.84825,Rabbit,Oryctolagus cuniculus
2017,Victoria,-37.77547,145.37792,Rabbit,Oryctolagus cuniculus
1994,Victoria,-37.71247,145.30572,Rabbit,Oryctolagus cuniculus
2005,Victoria,-37.67361,144.94306,Rabbit,Oryctolagus cuniculus
1998,Victoria,-36.20389,146.95397,Rabbit,Oryctolagus cuniculus
2011,Victoria,-38.14776,145.23204,Rabbit,Oryctolagus cuniculus
2010,Victoria,-38.37083,145.00083,Rabbit,Oryctolagus cuniculus
1990,Victoria,-37.87252,144.65406,Rabbit,Oryctolagus cuniculus
2007,Victoria,-37.72593,141.30925,Rabbit,Oryctolagus cuniculus
1977,Victoria,-37.79013,147.45961,Rabbit,Oryctolagus cuniculus
1986,Victoria,-34.59017,142.14297,Rabbit,Oryctolagus cuniculus
2018,Victoria,-37.59761,144.88405,Rabbit,Oryctolagus cuniculus
2016,Victoria,-38.8865,145.9973,Rabbit,Oryctolagus cuniculus
1986,Victoria,-34.70684,142.20964,Rabbit,Oryctolagus cuniculus
2008,Victoria,-37.16191,146.76866,Rabbit,Oryctolagus cuniculus
2001,Victoria,-36.79737,144.94504,Rabbit,Oryctolagus cuniculus
1990,Victoria,-38.25681,146.89296,Rabbit,Oryctolagus cuniculus
2020,Victoria,-37.10276,142.30653,Rabbit,Oryctolagus cuniculus
2018,Victoria,-38.17338,145.38151,Rabbit,Oryctolagus cuniculus
1989,Victoria,-38.05025,144.13563,Rabbit,Oryctolagus cuniculus
2020,Victoria,-37.9103,143.8913,Rabbit,Oryctolagus cuniculus
2013,Victoria,-38.17966,141.52465,Rabbit,Oryctolagus cuniculus
2000,Victoria,-37.8626,147.9386,Rabbit,Oryctolagus cuniculus
1985,Victoria,-37.60769,149.51571,Rabbit,Oryctolagus cuniculus
2022,Victoria,-37.06663,146.86803,Rabbit,Oryctolagus cuniculus
2018,Victoria,-38.22122,145.40323,Rabbit,Oryctolagus cuniculus
2006,Victoria,-37.0775,148.38021,Rabbit,Oryctolagus cuniculus
1986,Victoria,-34.27352,141.30964,Rabbit,Oryctolagus cuniculus
1989,Victoria,-36.627,145.22355,Rabbit,Oryctolagus cuniculus
1979,Victoria,-37.69013,148.17627,Rabbit,Oryctolagus cuniculus
1997,Victoria,-38.08992,145.72009,Rabbit,Oryctolagus cuniculus
2021,Victoria,-38.36682,145.43916,Rabbit,Oryctolagus cuniculus
2007,Victoria,-37.17944,144.12444,Rabbit,Oryctolagus cuniculus
1987,Victoria,-36.10684,143.35965,Rabbit,Oryctolagus cuniculus
2014,Victoria,-37.6411,145.2328,Rabbit,Oryctolagus cuniculus
1986,Victoria,-34.16794,141.46626,Rabbit,Oryctolagus cuniculus
1991,Victoria,-38.2283,144.0487,Rabbit,Oryctolagus cuniculus
1978,Victoria,-37.37347,146.87628,Rabbit,Oryctolagus cuniculus
2020,Victoria,-38.1396,145.27264,Rabbit,Oryctolagus cuniculus
2001,Victoria,-36.20389,146.95397,Rabbit,Oryctolagus cuniculus
2012,Victoria,-38.28256,144.1675,Rabbit,Oryctolagus cuniculus
1978,Victoria,-37.75684,144.10966,Rabbit,Oryctolagus cuniculus
1978,Victoria,-37.4568,146.87628,Rabbit,Oryctolagus cuniculus
2015,Victoria,-38.13232,145.52041,Rabbit,Oryctolagus cuniculus
2020,Victoria,-38.4809,146.85155,Rabbit,Oryctolagus cuniculus
2013,Victoria,-36.04771,141.06279,Rabbit,Oryctolagus cuniculus
2019,Victoria,-38.15743,145.552,Rabbit,Oryctolagus cuniculus
2020,Victoria,-37.6751,143.8894,Rabbit,Oryctolagus cuniculus
1979,Victoria,-36.04019,141.62634,Rabbit,Oryctolagus cuniculus
2003,Victoria,-36.20389,146.95397,Rabbit,Oryctolagus cuniculus
2021,Victoria,-36.91301,142.5031,Rabbit,Oryctolagus cuniculus
1995,Victoria,-37.75331,145.14474,Rabbit,Oryctolagus cuniculus
1981,Victoria,-36.62349,144.8763,Rabbit,Oryctolagus cuniculus
2011,Victoria,-38.21721,145.40268,Rabbit,Oryctolagus cuniculus
2011,Victoria,-37.7834,145.00332,Rabbit,Oryctolagus cuniculus
2018,Victoria,-37.6098,143.2434,Rabbit,Oryctolagus cuniculus
2001,Victoria,-37.25004,146.42563,Rabbit,Oryctolagus cuniculus
2019,Victoria,-37.67773,145.09136,Rabbit,Oryctolagus cuniculus
1988,Victoria,-37.8947,145.44939,Rabbit,Oryctolagus cuniculus
